GEO_ID,NAME,S1701_C03_006E
45001,"Abbeville County, South Carolina",20.1
45003,"Aiken County, South Carolina",15.4
45005,"Allendale County, South Carolina",26.9
45007,"Anderson County, South Carolina",14.5
45009,"Bamberg County, South Carolina",23.3
45011,"Barnwell County, South Carolina",23.3
45013,"Beaufort County, South Carolina",10.6
45015,"Berkeley County, South Carolina",10.9
45017,"Calhoun County, South Carolina",17.7
45019,"Charleston County, South Carolina",13.8
45021,"Cherokee County, South Carolina",20.3
45023,"Chester County, South Carolina",19.1
45025,"Chesterfield County, South Carolina",20.8
45027,"Clarendon County, South Carolina",22.1
45029,"Colleton County, South Carolina",19.5
45031,"Darlington County, South Carolina",21.2
45033,"Dillon County, South Carolina",30.3
45035,"Dorchester County, South Carolina",10.4
45037,"Edgefield County, South Carolina",15.3
45039,"Fairfield County, South Carolina",24.4
45041,"Florence County, South Carolina",17.6
45043,"Georgetown County, South Carolina",18.2
45045,"Greenville County, South Carolina",11.7
45047,"Greenwood County, South Carolina",19.4
45049,"Hampton County, South Carolina",17.8
45051,"Horry County, South Carolina",15.8
45053,"Jasper County, South Carolina",17.3
45055,"Kershaw County, South Carolina",15.8
45057,"Lancaster County, South Carolina",13.7
45059,"Laurens County, South Carolina",18.5
45061,"Lee County, South Carolina",19.7
45063,"Lexington County, South Carolina",12
45065,"McCormick County, South Carolina",20.2
45067,"Marion County, South Carolina",22
45069,"Marlboro County, South Carolina",21.3
45071,"Newberry County, South Carolina",16.3
45073,"Oconee County, South Carolina",20
45075,"Orangeburg County, South Carolina",22.1
45077,"Pickens County, South Carolina",20.8
45079,"Richland County, South Carolina",15.8
45081,"Saluda County, South Carolina",15.6
45083,"Spartanburg County, South Carolina",13.1
45085,"Sumter County, South Carolina",18.2
45087,"Union County, South Carolina",19.4
45089,"Williamsburg County, South Carolina",23.3
45091,"York County, South Carolina",10.7